step:0 top1:35.04% nums_selected:0 selected_percent:0.00% mAP:30.57% label_pre:45.11% select_pre:89.22%
step:1 top1:47.44% nums_selected:334 selected_percent:22.36% mAP:41.54% label_pre:52.21% select_pre:90.04%
step:2 top1:51.57% nums_selected:472 selected_percent:31.59% mAP:45.75% label_pre:56.96% select_pre:89.62%
step:3 top1:56.70% nums_selected:578 selected_percent:38.69% mAP:49.42% label_pre:60.04% select_pre:89.81%
step:4 top1:59.97% nums_selected:667 selected_percent:44.65% mAP:51.90% label_pre:62.99% select_pre:89.80%
step:5 top1:62.25% nums_selected:745 selected_percent:49.87% mAP:53.77% label_pre:64.52% select_pre:88.74%
step:6 top1:64.53% nums_selected:817 selected_percent:54.69% mAP:55.64% label_pre:64.99% select_pre:88.10%
step:7 top1:66.52% nums_selected:882 selected_percent:59.04% mAP:57.11% label_pre:67.20% select_pre:87.17%
step:8 top1:67.66% nums_selected:943 selected_percent:63.12% mAP:58.13% label_pre:67.34% select_pre:86.50%
step:9 top1:66.95% nums_selected:1000 selected_percent:66.93% mAP:57.98% label_pre:67.47% select_pre:85.48%
step:10 top1:69.94% nums_selected:1054 selected_percent:70.55% mAP:60.11% label_pre:67.74% select_pre:83.44%
step:11 top1:68.23% nums_selected:1105 selected_percent:73.96% mAP:58.96% label_pre:68.01% select_pre:82.08%
step:12 top1:69.52% nums_selected:1155 selected_percent:77.31% mAP:60.19% label_pre:69.01% select_pre:80.87%
step:13 top1:69.52% nums_selected:1202 selected_percent:80.46% mAP:60.53% label_pre:68.74% select_pre:79.55%
step:14 top1:69.52% nums_selected:1247 selected_percent:83.47% mAP:59.89% label_pre:69.21% select_pre:78.00%
step:15 top1:69.94% nums_selected:1291 selected_percent:86.41% mAP:60.84% label_pre:69.54% select_pre:76.29%
step:16 top1:69.23% nums_selected:1333 selected_percent:89.22% mAP:60.90% label_pre:69.54% select_pre:74.60%
step:17 top1:69.94% nums_selected:1374 selected_percent:91.97% mAP:61.64% label_pre:69.61% select_pre:72.91%
step:18 top1:69.80% nums_selected:1414 selected_percent:94.65% mAP:60.67% label_pre:69.61% select_pre:71.30%
step:19 top1:70.66% nums_selected:1453 selected_percent:97.26% mAP:61.19% label_pre:69.68% select_pre:69.87%
step:20 top1:72.22% nums_selected:1490 selected_percent:99.73% mAP:62.36% label_pre:69.75% select_pre:69.75%
step:21 top1:69.94% nums_selected:1494 selected_percent:100.00% mAP:60.46% label_pre:69.75% select_pre:69.75%
