step:0 top1:36.18% nums_selected:0 selected_percent:0.00% mAP:31.96% label_pre:45.11% select_pre:100.00%
step:1 top1:36.04% nums_selected:17 selected_percent:1.14% mAP:31.73% label_pre:45.45% select_pre:97.87%
step:2 top1:38.60% nums_selected:47 selected_percent:3.15% mAP:32.85% label_pre:46.18% select_pre:96.51%
step:3 top1:42.17% nums_selected:86 selected_percent:5.76% mAP:36.34% label_pre:48.39% select_pre:96.97%
step:4 top1:42.02% nums_selected:132 selected_percent:8.84% mAP:37.08% label_pre:49.80% select_pre:97.28%
step:5 top1:46.72% nums_selected:184 selected_percent:12.32% mAP:40.52% label_pre:53.48% select_pre:97.52%
step:6 top1:47.44% nums_selected:242 selected_percent:16.20% mAP:40.85% label_pre:53.35% select_pre:97.38%
step:7 top1:51.00% nums_selected:305 selected_percent:20.41% mAP:43.97% label_pre:56.09% select_pre:97.58%
step:8 top1:51.99% nums_selected:372 selected_percent:24.90% mAP:45.04% label_pre:57.90% select_pre:96.85%
step:9 top1:57.69% nums_selected:444 selected_percent:29.72% mAP:49.65% label_pre:61.11% select_pre:96.15%
step:10 top1:59.26% nums_selected:520 selected_percent:34.81% mAP:50.26% label_pre:60.71% select_pre:95.67%
step:11 top1:61.68% nums_selected:600 selected_percent:40.16% mAP:52.50% label_pre:64.12% select_pre:94.59%
step:12 top1:62.54% nums_selected:684 selected_percent:45.78% mAP:53.92% label_pre:65.73% select_pre:93.64%
step:13 top1:67.09% nums_selected:771 selected_percent:51.61% mAP:56.70% label_pre:67.14% select_pre:92.10%
step:14 top1:67.52% nums_selected:861 selected_percent:57.63% mAP:57.94% label_pre:68.14% select_pre:89.11%
step:15 top1:68.23% nums_selected:955 selected_percent:63.92% mAP:59.25% label_pre:69.14% select_pre:87.07%
step:16 top1:69.80% nums_selected:1052 selected_percent:70.41% mAP:61.09% label_pre:69.81% select_pre:84.29%
step:17 top1:69.52% nums_selected:1152 selected_percent:77.11% mAP:60.48% label_pre:71.15% select_pre:80.81%
step:18 top1:71.79% nums_selected:1256 selected_percent:84.07% mAP:62.54% label_pre:71.35% select_pre:77.09%
step:19 top1:71.79% nums_selected:1362 selected_percent:91.16% mAP:62.63% label_pre:71.69% select_pre:72.65%
step:20 top1:69.80% nums_selected:1470 selected_percent:98.39% mAP:60.85% label_pre:71.55% select_pre:71.55%
step:21 top1:70.09% nums_selected:1494 selected_percent:100.00% mAP:61.56% label_pre:71.55% select_pre:71.55%
