step:0 nums_to_select:0 top1:31.34% mAP:27.65% 
step:1 nums_to_select:75 top1:40.74% mAP:35.76% 
step:2 nums_to_select:150 top1:49.29% mAP:41.89% 
step:3 nums_to_select:225 top1:48.43% mAP:42.32% 
step:4 nums_to_select:299 top1:53.42% mAP:46.53% 
step:5 nums_to_select:374 top1:59.54% mAP:51.77% 
step:6 nums_to_select:449 top1:58.97% mAP:51.24% 
step:7 nums_to_select:523 top1:64.25% mAP:56.59% 
step:8 nums_to_select:598 top1:65.10% mAP:57.85% 
step:9 nums_to_select:673 top1:68.66% mAP:61.49% 
step:10 nums_to_select:747 top1:69.23% mAP:62.23% 
step:11 nums_to_select:822 top1:68.80% mAP:62.66% 
step:12 nums_to_select:897 top1:72.51% mAP:65.98% 
step:13 nums_to_select:972 top1:73.65% mAP:66.84% 
step:14 nums_to_select:1046 top1:74.22% mAP:68.93% 
step:15 nums_to_select:1121 top1:77.35% mAP:70.10% 
step:16 nums_to_select:1196 top1:76.07% mAP:70.15% 
step:17 nums_to_select:1270 top1:78.21% mAP:71.33% 
step:18 nums_to_select:1345 top1:78.49% mAP:71.91% 
step:19 nums_to_select:1420 top1:81.62% mAP:75.58% 
step:20 nums_to_select:1494 top1:79.77% mAP:73.84% 
