step:1 top1:38.03% nums_selected:0 selected_percent:0.00% mAP:32.06% label_pre:43.91% select_pre:97.00%
step:2 top1:42.17% nums_selected:100 selected_percent:6.69% mAP:36.14% label_pre:50.07% select_pre:97.28%
step:3 top1:41.88% nums_selected:147 selected_percent:9.84% mAP:36.29% label_pre:51.27% select_pre:97.41%
step:4 top1:44.59% nums_selected:193 selected_percent:12.92% mAP:38.54% label_pre:50.87% select_pre:97.92%
step:5 top1:50.57% nums_selected:240 selected_percent:16.06% mAP:43.04% label_pre:55.96% select_pre:97.90%
step:6 top1:51.00% nums_selected:286 selected_percent:19.14% mAP:44.31% label_pre:56.09% select_pre:97.30%
step:7 top1:51.14% nums_selected:333 selected_percent:22.29% mAP:44.59% label_pre:56.49% select_pre:97.36%
step:8 top1:54.13% nums_selected:379 selected_percent:25.37% mAP:46.27% label_pre:58.30% select_pre:97.42%
step:9 top1:55.70% nums_selected:426 selected_percent:28.51% mAP:47.87% label_pre:60.44% select_pre:97.03%
step:10 top1:59.12% nums_selected:472 selected_percent:31.59% mAP:50.42% label_pre:59.64% select_pre:97.11%
step:11 top1:57.55% nums_selected:519 selected_percent:34.74% mAP:48.89% label_pre:61.65% select_pre:96.64%
step:12 top1:61.25% nums_selected:565 selected_percent:37.82% mAP:52.22% label_pre:63.45% select_pre:96.57%
step:13 top1:62.25% nums_selected:612 selected_percent:40.96% mAP:52.87% label_pre:64.73% select_pre:96.05%
step:14 top1:64.10% nums_selected:658 selected_percent:44.04% mAP:54.89% label_pre:65.33% select_pre:95.46%
step:15 top1:65.10% nums_selected:705 selected_percent:47.19% mAP:55.47% label_pre:65.73% select_pre:94.81%
step:16 top1:66.67% nums_selected:751 selected_percent:50.27% mAP:56.52% label_pre:67.34% select_pre:94.35%
step:17 top1:69.23% nums_selected:797 selected_percent:53.35% mAP:58.22% label_pre:67.74% select_pre:93.72%
step:18 top1:65.95% nums_selected:844 selected_percent:56.49% mAP:56.98% label_pre:67.74% select_pre:91.91%
step:19 top1:67.24% nums_selected:890 selected_percent:59.57% mAP:58.46% label_pre:68.54% select_pre:91.36%
step:20 top1:68.66% nums_selected:937 selected_percent:62.72% mAP:59.21% label_pre:68.61% select_pre:90.44%
step:21 top1:68.66% nums_selected:983 selected_percent:65.80% mAP:59.54% label_pre:69.21% select_pre:88.45%
step:22 top1:70.66% nums_selected:1030 selected_percent:68.94% mAP:60.61% label_pre:70.28% select_pre:86.62%
step:23 top1:69.94% nums_selected:1076 selected_percent:72.02% mAP:60.92% label_pre:69.54% select_pre:84.86%
step:24 top1:71.79% nums_selected:1123 selected_percent:75.17% mAP:62.16% label_pre:69.88% select_pre:83.66%
step:25 top1:70.09% nums_selected:1169 selected_percent:78.25% mAP:61.39% label_pre:70.21% select_pre:81.83%
step:26 top1:71.23% nums_selected:1216 selected_percent:81.39% mAP:61.97% label_pre:70.88% select_pre:80.35%
step:27 top1:73.22% nums_selected:1262 selected_percent:84.47% mAP:63.69% label_pre:70.88% select_pre:78.99%
step:28 top1:72.36% nums_selected:1309 selected_percent:87.62% mAP:62.94% label_pre:71.69% select_pre:77.27%
step:29 top1:71.65% nums_selected:1355 selected_percent:90.70% mAP:62.65% label_pre:71.08% select_pre:75.25%
step:30 top1:71.79% nums_selected:1402 selected_percent:93.84% mAP:62.63% label_pre:71.49% select_pre:73.34%
step:31 top1:70.23% nums_selected:1448 selected_percent:96.92% mAP:61.47% label_pre:71.49% select_pre:71.49%
step:32 top1:70.66% nums_selected:1494 selected_percent:100.00% mAP:60.97% label_pre:71.49% select_pre:71.49%
