step:1 top1:37.75% nums_selected:0 selected_percent:0.00% mAP:32.18% label_pre:46.32% select_pre:98.00%
step:2 top1:37.61% nums_selected:50 selected_percent:3.35% mAP:32.92% label_pre:46.18% select_pre:96.91%
step:3 top1:40.74% nums_selected:97 selected_percent:6.49% mAP:35.08% label_pre:48.73% select_pre:97.22%
step:4 top1:43.73% nums_selected:144 selected_percent:9.64% mAP:37.94% label_pre:49.67% select_pre:97.37%
step:5 top1:44.44% nums_selected:190 selected_percent:12.72% mAP:38.93% label_pre:51.74% select_pre:97.47%
step:6 top1:48.15% nums_selected:237 selected_percent:15.86% mAP:41.85% label_pre:53.75% select_pre:97.53%
step:7 top1:47.86% nums_selected:283 selected_percent:18.94% mAP:42.50% label_pre:55.15% select_pre:97.58%
step:8 top1:50.71% nums_selected:330 selected_percent:22.09% mAP:43.76% label_pre:56.56% select_pre:97.61%
step:9 top1:51.99% nums_selected:377 selected_percent:25.23% mAP:45.46% label_pre:57.50% select_pre:96.69%
step:10 top1:54.13% nums_selected:423 selected_percent:28.31% mAP:46.84% label_pre:58.90% select_pre:96.38%
step:11 top1:57.26% nums_selected:470 selected_percent:31.46% mAP:49.73% label_pre:60.98% select_pre:96.32%
step:12 top1:58.83% nums_selected:516 selected_percent:34.54% mAP:50.43% label_pre:62.85% select_pre:96.09%
step:13 top1:60.11% nums_selected:563 selected_percent:37.68% mAP:51.29% label_pre:63.79% select_pre:95.57%
step:14 top1:63.68% nums_selected:609 selected_percent:40.76% mAP:53.66% label_pre:64.66% select_pre:95.12%
step:15 top1:63.39% nums_selected:656 selected_percent:43.91% mAP:54.49% label_pre:64.59% select_pre:94.17%
step:16 top1:62.68% nums_selected:703 selected_percent:47.05% mAP:54.30% label_pre:65.06% select_pre:94.13%
step:17 top1:66.52% nums_selected:749 selected_percent:50.13% mAP:56.48% label_pre:66.13% select_pre:93.59%
step:18 top1:67.38% nums_selected:796 selected_percent:53.28% mAP:58.17% label_pre:68.27% select_pre:92.76%
step:19 top1:67.09% nums_selected:842 selected_percent:56.36% mAP:57.84% label_pre:68.07% select_pre:92.01%
step:20 top1:68.23% nums_selected:889 selected_percent:59.50% mAP:59.19% label_pre:69.34% select_pre:90.81%
step:21 top1:68.80% nums_selected:936 selected_percent:62.65% mAP:59.60% label_pre:68.47% select_pre:89.41%
step:22 top1:68.52% nums_selected:982 selected_percent:65.73% mAP:59.42% label_pre:68.88% select_pre:88.14%
step:23 top1:68.66% nums_selected:1029 selected_percent:68.88% mAP:60.86% label_pre:69.48% select_pre:86.88%
step:24 top1:71.51% nums_selected:1075 selected_percent:71.95% mAP:61.89% label_pre:70.55% select_pre:85.20%
step:25 top1:70.23% nums_selected:1122 selected_percent:75.10% mAP:61.27% label_pre:70.08% select_pre:83.65%
step:26 top1:71.94% nums_selected:1168 selected_percent:78.18% mAP:62.50% label_pre:70.35% select_pre:82.30%
step:27 top1:69.66% nums_selected:1215 selected_percent:81.33% mAP:61.24% label_pre:71.35% select_pre:81.06%
step:28 top1:68.38% nums_selected:1262 selected_percent:84.47% mAP:60.82% label_pre:71.62% select_pre:79.36%
step:29 top1:70.94% nums_selected:1308 selected_percent:87.55% mAP:62.24% label_pre:71.49% select_pre:76.90%
step:30 top1:70.94% nums_selected:1355 selected_percent:90.70% mAP:61.87% label_pre:71.42% select_pre:75.37%
step:31 top1:70.51% nums_selected:1401 selected_percent:93.78% mAP:61.74% label_pre:71.49% select_pre:73.20%
step:32 top1:72.65% nums_selected:1448 selected_percent:96.92% mAP:62.95% label_pre:71.29% select_pre:71.29%
step:33 top1:71.23% nums_selected:1494 selected_percent:100.00% mAP:62.00% label_pre:71.29% select_pre:71.29%
