step:1 top1:37.04% nums_selected:0 selected_percent:0.00% mAP:30.77% label_pre:43.51% select_pre:97.00%
step:2 top1:45.44% nums_selected:200 selected_percent:13.39% mAP:39.97% label_pre:53.21% select_pre:97.55%
step:3 top1:47.44% nums_selected:245 selected_percent:16.40% mAP:41.24% label_pre:53.61% select_pre:97.59%
step:4 top1:49.29% nums_selected:290 selected_percent:19.41% mAP:42.99% label_pre:53.55% select_pre:97.60%
step:5 top1:52.42% nums_selected:334 selected_percent:22.36% mAP:44.76% label_pre:57.43% select_pre:97.89%
step:6 top1:55.56% nums_selected:379 selected_percent:25.37% mAP:47.12% label_pre:56.89% select_pre:97.41%
step:7 top1:56.98% nums_selected:424 selected_percent:28.38% mAP:48.63% label_pre:59.57% select_pre:97.01%
step:8 top1:58.69% nums_selected:468 selected_percent:31.33% mAP:50.11% label_pre:62.72% select_pre:96.49%
step:9 top1:58.26% nums_selected:513 selected_percent:34.34% mAP:50.02% label_pre:61.65% select_pre:95.87%
step:10 top1:59.26% nums_selected:557 selected_percent:37.28% mAP:51.50% label_pre:63.59% select_pre:96.01%
step:11 top1:61.68% nums_selected:602 selected_percent:40.29% mAP:52.57% label_pre:64.12% select_pre:95.67%
step:12 top1:63.25% nums_selected:647 selected_percent:43.31% mAP:53.92% label_pre:64.19% select_pre:95.08%
step:13 top1:63.96% nums_selected:691 selected_percent:46.25% mAP:54.47% label_pre:65.19% select_pre:94.29%
step:14 top1:65.24% nums_selected:736 selected_percent:49.26% mAP:55.60% label_pre:65.19% select_pre:93.09%
step:15 top1:66.10% nums_selected:781 selected_percent:52.28% mAP:56.43% label_pre:66.73% select_pre:92.36%
step:16 top1:67.95% nums_selected:825 selected_percent:55.22% mAP:57.48% label_pre:68.34% select_pre:91.26%
step:17 top1:67.09% nums_selected:870 selected_percent:58.23% mAP:57.48% label_pre:67.80% select_pre:90.48%
step:18 top1:66.81% nums_selected:914 selected_percent:61.18% mAP:57.33% label_pre:69.08% select_pre:89.68%
step:19 top1:67.81% nums_selected:959 selected_percent:64.19% mAP:58.47% label_pre:68.47% select_pre:88.45%
step:20 top1:69.52% nums_selected:1004 selected_percent:67.20% mAP:59.68% label_pre:69.21% select_pre:87.40%
step:21 top1:69.23% nums_selected:1048 selected_percent:70.15% mAP:60.16% label_pre:69.28% select_pre:86.28%
step:22 top1:69.94% nums_selected:1093 selected_percent:73.16% mAP:60.58% label_pre:70.28% select_pre:85.85%
step:23 top1:69.66% nums_selected:1138 selected_percent:76.17% mAP:61.19% label_pre:70.55% select_pre:84.69%
step:24 top1:70.51% nums_selected:1182 selected_percent:79.12% mAP:61.46% label_pre:72.02% select_pre:83.21%
step:25 top1:71.37% nums_selected:1227 selected_percent:82.13% mAP:61.82% label_pre:70.95% select_pre:81.43%
step:26 top1:70.94% nums_selected:1271 selected_percent:85.07% mAP:61.50% label_pre:71.62% select_pre:79.64%
step:27 top1:70.66% nums_selected:1316 selected_percent:88.09% mAP:62.30% label_pre:72.36% select_pre:78.03%
step:28 top1:71.23% nums_selected:1361 selected_percent:91.10% mAP:62.11% label_pre:72.22% select_pre:76.30%
step:29 top1:71.08% nums_selected:1405 selected_percent:94.04% mAP:62.87% label_pre:72.56% select_pre:74.48%
step:30 top1:70.51% nums_selected:1450 selected_percent:97.05% mAP:61.82% label_pre:72.82% select_pre:72.82%
step:31 top1:71.94% nums_selected:1494 selected_percent:100.00% mAP:62.52% label_pre:72.82% select_pre:72.82%
