step:1 top1:38.03% nums_selected:0 selected_percent:0.00% mAP:32.62% label_pre:47.39% select_pre:93.33%
step:2 top1:48.86% nums_selected:300 selected_percent:20.08% mAP:42.29% label_pre:54.22% select_pre:95.03%
step:3 top1:51.57% nums_selected:342 selected_percent:22.89% mAP:44.21% label_pre:57.16% select_pre:95.30%
step:4 top1:54.27% nums_selected:383 selected_percent:25.64% mAP:46.54% label_pre:58.03% select_pre:95.28%
step:5 top1:55.84% nums_selected:424 selected_percent:28.38% mAP:47.79% label_pre:59.71% select_pre:95.05%
step:6 top1:57.69% nums_selected:465 selected_percent:31.12% mAP:48.97% label_pre:60.17% select_pre:95.26%
step:7 top1:57.98% nums_selected:506 selected_percent:33.87% mAP:49.90% label_pre:60.31% select_pre:95.44%
step:8 top1:59.97% nums_selected:548 selected_percent:36.68% mAP:50.60% label_pre:61.78% select_pre:95.42%
step:9 top1:61.54% nums_selected:589 selected_percent:39.42% mAP:52.98% label_pre:63.72% select_pre:94.60%
step:10 top1:61.40% nums_selected:630 selected_percent:42.17% mAP:52.99% label_pre:64.06% select_pre:93.74%
step:11 top1:63.11% nums_selected:671 selected_percent:44.91% mAP:53.35% label_pre:63.99% select_pre:92.84%
step:12 top1:65.10% nums_selected:712 selected_percent:47.66% mAP:55.32% label_pre:65.60% select_pre:92.43%
step:13 top1:64.25% nums_selected:753 selected_percent:50.40% mAP:55.43% label_pre:65.46% select_pre:91.82%
step:14 top1:65.95% nums_selected:795 selected_percent:53.21% mAP:55.82% label_pre:66.53% select_pre:91.27%
step:15 top1:66.38% nums_selected:836 selected_percent:55.96% mAP:56.48% label_pre:67.00% select_pre:90.54%
step:16 top1:66.10% nums_selected:877 selected_percent:58.70% mAP:56.76% label_pre:67.40% select_pre:90.09%
step:17 top1:67.95% nums_selected:918 selected_percent:61.45% mAP:59.16% label_pre:68.14% select_pre:89.78%
step:18 top1:68.52% nums_selected:959 selected_percent:64.19% mAP:59.40% label_pre:68.94% select_pre:89.00%
step:19 top1:71.23% nums_selected:1000 selected_percent:66.93% mAP:61.61% label_pre:70.21% select_pre:88.29%
step:20 top1:68.23% nums_selected:1042 selected_percent:69.75% mAP:59.80% label_pre:69.61% select_pre:86.89%
step:21 top1:71.65% nums_selected:1083 selected_percent:72.49% mAP:61.74% label_pre:70.08% select_pre:85.68%
step:22 top1:70.66% nums_selected:1124 selected_percent:75.23% mAP:61.78% label_pre:69.88% select_pre:84.64%
step:23 top1:70.09% nums_selected:1165 selected_percent:77.98% mAP:61.83% label_pre:71.22% select_pre:83.17%
step:24 top1:71.51% nums_selected:1206 selected_percent:80.72% mAP:62.45% label_pre:71.69% select_pre:81.80%
step:25 top1:71.08% nums_selected:1247 selected_percent:83.47% mAP:62.38% label_pre:71.49% select_pre:79.98%
step:26 top1:72.08% nums_selected:1289 selected_percent:86.28% mAP:63.49% label_pre:71.69% select_pre:78.20%
step:27 top1:71.37% nums_selected:1330 selected_percent:89.02% mAP:62.07% label_pre:71.69% select_pre:76.95%
step:28 top1:72.22% nums_selected:1371 selected_percent:91.77% mAP:63.53% label_pre:71.95% select_pre:75.14%
step:29 top1:70.94% nums_selected:1412 selected_percent:94.51% mAP:62.37% label_pre:71.75% select_pre:73.43%
step:30 top1:71.37% nums_selected:1453 selected_percent:97.26% mAP:63.30% label_pre:71.49% select_pre:71.49%
step:31 top1:70.23% nums_selected:1494 selected_percent:100.00% mAP:61.76% label_pre:71.55% select_pre:71.55%
